"datasetid","sitename","lat","lon","lag","region","total_bc"
4370,"Ran Viken",56.28145,14.29056,-1537,"Scandinavia",0.1848
45722,"Reiersdalvann",NA,NA,-3931,"Scandinavia",0.3753
53131,"Reinskaret bog",62.80639,11.94056,-404,"Scandinavia",0.4082
4390,"Rudushskoe Lake",56.5,27.55,-4493,"Scandinavia",0.5712
4393,"Ryönänsuo",NA,NA,-2748,"Scandinavia",0.4379
4372,"Råttuvarri",69.35,20.31667,34,"Scandinavia",0.3003
20060,"Sandvikvatn",NA,NA,-2171,"Scandinavia",0.4084
4414,"Shepeta Bog",55.78333,25.16667,965,"Scandinavia",0.5335
54003,"Stavsåkra",57.02417,14.81306,-3390,"Scandinavia",0.4877
54016,"Stobydeltat",56.16667,13.83333,-3238,"Scandinavia",0.7138
53988,"Stor-flen",60.3,14.58333,-5442,"Scandinavia",0.5578
54004,"Storasjö",56.93333,15.26667,-5327,"Scandinavia",0.5461
54005,"Storasjö",56.93333,15.26667,-5327,"Scandinavia",0.5461
45331,"Storsandvatnet",63.4575,8.45444,-2214,"Scandinavia",0.3609
53968,"Storsnasen",63.23333,12.41667,290,"Scandinavia",0.3399
4466,"Sudoble Lake",54.03333,28.1,-1411,"Scandinavia",0.3115
48917,"Surusoo bog",58.52611,22.42306,1169,"Scandinavia",0.5308
48919,"Surusoo bog",58.52611,22.42306,1169,"Scandinavia",0.5308
48921,"Surusoo bog",58.52611,22.42306,1169,"Scandinavia",0.5308
48923,"Surusoo bog",58.52611,22.42306,1169,"Scandinavia",0.5308
45343,"Svartvatnet",63.35139,8.87778,-2204,"Scandinavia",0.3237
4470,"Svencele Bog",55.49528,21.29222,79,"Scandinavia",0.5513
49658,"Svetinu lake",56.76028,27.14944,-4165.415,"Scandinavia",0.3597
4472,"Syrjälänsuo",61.21667,28.11667,-5184,"Scandinavia",0.2803
49477,"Thorsberger Moor",54.64245,9.77247,-1779,"Scandinavia",0.5011
4490,"Tondi",59.43194,24.89246,-1958,"Scandinavia",0.3985
52088,"Toskaljarvi",69.2,21.46667,-2184.7,"Scandinavia",0.3313
20042,"Trettetjørn",60.71667,7,599,"Scandinavia",0.2515
53986,"Trygåsen (II)",61.76667,13.33333,244,"Scandinavia",0.238
4500,"Tytuvenu Tyrelis",55.58333,23.3,-582,"Scandinavia",0.4522
